catchy,happy,passionate,luxurious,soft,sad,angry,light black,icy
repetitive,uplifting,resolute,diamond,relaxation,bittersweet,aggressive,scary,aquatic
complex,optimistic,epic,lush,sunset,melancholic,violence,ominous,tropical
progressive,triumphant,anthemic,ethereal,peaceful,somber,manic,disturbing,desert
ballad,twee,adventure,surreal,calm,pessimistic,energetic,dark,nature
poetic,boastful,nostalgic,fantasy,sparse,sulking,energetic 100,anxious,pastoral
introspective,celebration,love,urban,soothing,lonely,fight song,crime,forest
conscious,sunny day,breakup,night,sedated,cloudy day,sports,mysterious,Spring
political,fun,LGBT,urban night,low energy,rainy,heavy,apocalypse,Summer
protest,quirky,sensual,late night,morning,rain song,noisy,death,Autumn
philosophical,humorous,sexual,starry night,ECM Style,storm,dense,suicide,Winter
existential,party,,space,,,hot,,Halloween
religious,,,mechanical,,,,,Christmas
,,,futuristic,,,,,
